RUN	computerdatabase.TesteSicredi	testesicredi	1547996737334	0	3.0.2
USER	Teste Stress Avaliação Sicredi	1	START	1547996739194	1547996739194
USER	Teste Stress Avaliação Sicredi	2	START	1547996739232	1547996739232
USER	Teste Stress Avaliação Sicredi	3	START	1547996739233	1547996739233
USER	Teste Stress Avaliação Sicredi	4	START	1547996739235	1547996739235
USER	Teste Stress Avaliação Sicredi	5	START	1547996739236	1547996739236
USER	Teste Stress Avaliação Sicredi	6	START	1547996739237	1547996739237
USER	Teste Stress Avaliação Sicredi	7	START	1547996739238	1547996739238
USER	Teste Stress Avaliação Sicredi	8	START	1547996739239	1547996739239
USER	Teste Stress Avaliação Sicredi	9	START	1547996739242	1547996739242
USER	Teste Stress Avaliação Sicredi	10	START	1547996739243	1547996739243
USER	Teste Stress Avaliação Sicredi	11	START	1547996739244	1547996739244
USER	Teste Stress Avaliação Sicredi	12	START	1547996739245	1547996739245
USER	Teste Stress Avaliação Sicredi	13	START	1547996739246	1547996739246
USER	Teste Stress Avaliação Sicredi	14	START	1547996739247	1547996739247
USER	Teste Stress Avaliação Sicredi	15	START	1547996739248	1547996739248
USER	Teste Stress Avaliação Sicredi	16	START	1547996739250	1547996739250
USER	Teste Stress Avaliação Sicredi	17	START	1547996739251	1547996739251
USER	Teste Stress Avaliação Sicredi	18	START	1547996739253	1547996739253
USER	Teste Stress Avaliação Sicredi	19	START	1547996739254	1547996739254
USER	Teste Stress Avaliação Sicredi	20	START	1547996739255	1547996739255
USER	Teste Stress Avaliação Sicredi	21	START	1547996739256	1547996739256
USER	Teste Stress Avaliação Sicredi	22	START	1547996739257	1547996739257
USER	Teste Stress Avaliação Sicredi	23	START	1547996739258	1547996739258
USER	Teste Stress Avaliação Sicredi	24	START	1547996739259	1547996739259
USER	Teste Stress Avaliação Sicredi	25	START	1547996739260	1547996739260
USER	Teste Stress Avaliação Sicredi	26	START	1547996739261	1547996739261
USER	Teste Stress Avaliação Sicredi	27	START	1547996739262	1547996739262
USER	Teste Stress Avaliação Sicredi	28	START	1547996739263	1547996739263
USER	Teste Stress Avaliação Sicredi	29	START	1547996739264	1547996739264
USER	Teste Stress Avaliação Sicredi	30	START	1547996739265	1547996739265
USER	Teste Stress Avaliação Sicredi	31	START	1547996739266	1547996739266
USER	Teste Stress Avaliação Sicredi	32	START	1547996739266	1547996739266
USER	Teste Stress Avaliação Sicredi	33	START	1547996739267	1547996739267
USER	Teste Stress Avaliação Sicredi	34	START	1547996739268	1547996739268
USER	Teste Stress Avaliação Sicredi	35	START	1547996739269	1547996739269
USER	Teste Stress Avaliação Sicredi	36	START	1547996739270	1547996739270
USER	Teste Stress Avaliação Sicredi	37	START	1547996739271	1547996739271
USER	Teste Stress Avaliação Sicredi	38	START	1547996739272	1547996739272
USER	Teste Stress Avaliação Sicredi	39	START	1547996739273	1547996739273
USER	Teste Stress Avaliação Sicredi	40	START	1547996739274	1547996739274
USER	Teste Stress Avaliação Sicredi	41	START	1547996739275	1547996739275
USER	Teste Stress Avaliação Sicredi	42	START	1547996739276	1547996739276
USER	Teste Stress Avaliação Sicredi	43	START	1547996739277	1547996739277
USER	Teste Stress Avaliação Sicredi	44	START	1547996739279	1547996739279
USER	Teste Stress Avaliação Sicredi	45	START	1547996739280	1547996739280
USER	Teste Stress Avaliação Sicredi	46	START	1547996739281	1547996739281
USER	Teste Stress Avaliação Sicredi	47	START	1547996739282	1547996739282
USER	Teste Stress Avaliação Sicredi	48	START	1547996739283	1547996739283
USER	Teste Stress Avaliação Sicredi	49	START	1547996739283	1547996739283
USER	Teste Stress Avaliação Sicredi	50	START	1547996739284	1547996739284
USER	Teste Stress Avaliação Sicredi	51	START	1547996739285	1547996739285
USER	Teste Stress Avaliação Sicredi	52	START	1547996739287	1547996739287
USER	Teste Stress Avaliação Sicredi	53	START	1547996739288	1547996739288
USER	Teste Stress Avaliação Sicredi	54	START	1547996739289	1547996739289
USER	Teste Stress Avaliação Sicredi	55	START	1547996739290	1547996739290
USER	Teste Stress Avaliação Sicredi	56	START	1547996739291	1547996739291
USER	Teste Stress Avaliação Sicredi	57	START	1547996739292	1547996739292
USER	Teste Stress Avaliação Sicredi	58	START	1547996739293	1547996739293
USER	Teste Stress Avaliação Sicredi	59	START	1547996739294	1547996739294
USER	Teste Stress Avaliação Sicredi	60	START	1547996739295	1547996739295
USER	Teste Stress Avaliação Sicredi	61	START	1547996739296	1547996739296
USER	Teste Stress Avaliação Sicredi	62	START	1547996739297	1547996739297
USER	Teste Stress Avaliação Sicredi	63	START	1547996739299	1547996739299
USER	Teste Stress Avaliação Sicredi	64	START	1547996739300	1547996739300
USER	Teste Stress Avaliação Sicredi	65	START	1547996739301	1547996739301
USER	Teste Stress Avaliação Sicredi	66	START	1547996739302	1547996739302
USER	Teste Stress Avaliação Sicredi	67	START	1547996739302	1547996739302
USER	Teste Stress Avaliação Sicredi	68	START	1547996739303	1547996739303
USER	Teste Stress Avaliação Sicredi	69	START	1547996739304	1547996739304
USER	Teste Stress Avaliação Sicredi	70	START	1547996739305	1547996739305
USER	Teste Stress Avaliação Sicredi	71	START	1547996739306	1547996739306
USER	Teste Stress Avaliação Sicredi	72	START	1547996739307	1547996739307
USER	Teste Stress Avaliação Sicredi	73	START	1547996739308	1547996739308
USER	Teste Stress Avaliação Sicredi	74	START	1547996739308	1547996739308
USER	Teste Stress Avaliação Sicredi	75	START	1547996739309	1547996739309
USER	Teste Stress Avaliação Sicredi	76	START	1547996739311	1547996739311
USER	Teste Stress Avaliação Sicredi	77	START	1547996739311	1547996739311
USER	Teste Stress Avaliação Sicredi	78	START	1547996739312	1547996739312
USER	Teste Stress Avaliação Sicredi	79	START	1547996739313	1547996739313
USER	Teste Stress Avaliação Sicredi	80	START	1547996739313	1547996739313
USER	Teste Stress Avaliação Sicredi	81	START	1547996739315	1547996739315
USER	Teste Stress Avaliação Sicredi	82	START	1547996739316	1547996739316
USER	Teste Stress Avaliação Sicredi	83	START	1547996739316	1547996739316
USER	Teste Stress Avaliação Sicredi	84	START	1547996739317	1547996739317
USER	Teste Stress Avaliação Sicredi	85	START	1547996739318	1547996739318
USER	Teste Stress Avaliação Sicredi	86	START	1547996739319	1547996739319
USER	Teste Stress Avaliação Sicredi	87	START	1547996739320	1547996739320
USER	Teste Stress Avaliação Sicredi	88	START	1547996739321	1547996739321
USER	Teste Stress Avaliação Sicredi	89	START	1547996739321	1547996739321
USER	Teste Stress Avaliação Sicredi	90	START	1547996739322	1547996739322
USER	Teste Stress Avaliação Sicredi	91	START	1547996739323	1547996739323
USER	Teste Stress Avaliação Sicredi	92	START	1547996739324	1547996739324
USER	Teste Stress Avaliação Sicredi	93	START	1547996739324	1547996739324
USER	Teste Stress Avaliação Sicredi	94	START	1547996739325	1547996739325
USER	Teste Stress Avaliação Sicredi	95	START	1547996739327	1547996739327
USER	Teste Stress Avaliação Sicredi	96	START	1547996739327	1547996739327
USER	Teste Stress Avaliação Sicredi	97	START	1547996739328	1547996739328
USER	Teste Stress Avaliação Sicredi	98	START	1547996739329	1547996739329
USER	Teste Stress Avaliação Sicredi	99	START	1547996739330	1547996739330
USER	Teste Stress Avaliação Sicredi	100	START	1547996739331	1547996739331
USER	Teste Stress Avaliação Sicredi	101	START	1547996739332	1547996739332
USER	Teste Stress Avaliação Sicredi	102	START	1547996739333	1547996739333
USER	Teste Stress Avaliação Sicredi	103	START	1547996739334	1547996739334
USER	Teste Stress Avaliação Sicredi	104	START	1547996739335	1547996739335
USER	Teste Stress Avaliação Sicredi	105	START	1547996739336	1547996739336
USER	Teste Stress Avaliação Sicredi	106	START	1547996739337	1547996739337
USER	Teste Stress Avaliação Sicredi	107	START	1547996739338	1547996739338
USER	Teste Stress Avaliação Sicredi	108	START	1547996739340	1547996739340
USER	Teste Stress Avaliação Sicredi	109	START	1547996739341	1547996739341
USER	Teste Stress Avaliação Sicredi	110	START	1547996739342	1547996739342
USER	Teste Stress Avaliação Sicredi	111	START	1547996739343	1547996739343
USER	Teste Stress Avaliação Sicredi	112	START	1547996739344	1547996739344
USER	Teste Stress Avaliação Sicredi	113	START	1547996739347	1547996739347
USER	Teste Stress Avaliação Sicredi	114	START	1547996739348	1547996739348
USER	Teste Stress Avaliação Sicredi	115	START	1547996739348	1547996739348
USER	Teste Stress Avaliação Sicredi	116	START	1547996739349	1547996739349
USER	Teste Stress Avaliação Sicredi	117	START	1547996739350	1547996739350
USER	Teste Stress Avaliação Sicredi	118	START	1547996739350	1547996739350
USER	Teste Stress Avaliação Sicredi	119	START	1547996739351	1547996739351
USER	Teste Stress Avaliação Sicredi	120	START	1547996739351	1547996739351
USER	Teste Stress Avaliação Sicredi	121	START	1547996739352	1547996739352
USER	Teste Stress Avaliação Sicredi	122	START	1547996739353	1547996739353
USER	Teste Stress Avaliação Sicredi	123	START	1547996739354	1547996739354
USER	Teste Stress Avaliação Sicredi	124	START	1547996739354	1547996739354
USER	Teste Stress Avaliação Sicredi	125	START	1547996739355	1547996739355
USER	Teste Stress Avaliação Sicredi	126	START	1547996739356	1547996739356
USER	Teste Stress Avaliação Sicredi	127	START	1547996739359	1547996739359
USER	Teste Stress Avaliação Sicredi	128	START	1547996739361	1547996739361
USER	Teste Stress Avaliação Sicredi	129	START	1547996739362	1547996739362
